metric_id,metric_name,phase,year_or_range,value,unit,confidence,primary_source,secondary_source,methodology_notes,limitations
ECO-003,GDP Growth Rate,Rise,1299-1520,0.06-0.10,% annual,LOW,"Pamuk (2009) 'Estimating GDP per capita for the Ottoman Empire in a European Comparative Framework 1500-1820' XVth World Economic History Congress Utrecht","Maddison Project Database 2020","Backward extrapolation from 1500 benchmark using urbanization and wage data; ~27% total growth 1500-1820 implies ~0.08% p.a. Rise phase likely slightly higher due to territorial expansion","No direct GDP data exists; all estimates indirect via wages/urbanization; territorial expansion conflates per-capita vs aggregate growth"
ECO-003,GDP Growth Rate,Peak,1520-1683,0.00-0.10,% annual,LOW,"Pamuk (2009) 'Estimating GDP per capita for the Ottoman Empire' Utrecht","Broadberry & Gupta comparative framework","Stagnation to mild growth; Ottoman Empire at relative height in Mediterranean in 16th century then relative decline like Italy and Spain; growth rate below 0.4% consistent with Southern European peers","Per capita vs aggregate ambiguity; regional diversity not captured; few benchmark years available"
ECO-003,GDP Growth Rate,Decline (early),1683-1820,0.00-0.05,% annual,LOW,"Pamuk (2009); Maddison Project Database","Karaman & Pamuk (2010) JEH","Mild growth or stagnation; if 1820 GDP/cap ~$600 (1990 intl $) and 1500 ~$600 then ~27% growth over 320 years distributed unevenly; decline phase shows deceleration","Territorial losses complicate aggregate vs per-capita distinction; regional variation enormous"
ECO-003,GDP Growth Rate,Decline (late),1820-1913,0.56,% annual,MODERATE,"Pamuk (2006) 'Estimating Economic Growth in the Middle East since 1820' JEH vol.66 no.3 pp.809-828","Bulut & Altay (2021) second-generation estimates TUJISE","0.56% average for 1820-1913; includes negative shock of -4% during 1870-1880 decade; second-generation estimates suggest relatively higher GDP than first-generation","More data available for 19th century but still limited; 1870-1880 shock from Russo-Turkish War and fiscal crisis"
ECO-004,Government Revenue (% of GDP),Rise,1299-1520,<4,% of GDP,MODERATE,"Karaman & Pamuk (2010) 'Ottoman State Finances in European Perspective 1500-1914' JEH vol.70 no.3 pp.593-629","Barkan budget studies; Inalcik (1994)","Central treasury cash revenues below 4% of GDP during early modern era; comparable to large European states in 16th century; per capita revenue < 3 days wages of unskilled Istanbul worker","Measures central treasury cash only; excludes timar/in-kind revenues which were substantial; actual extraction from taxpayers unknown"
ECO-004,Government Revenue (% of GDP),Rise,1528,9650000,Venetian ducats (total central revenue),HIGH,"Barkan 'Bir Butce Ornegi' pp.251-329; cited in Karaman & Pamuk (2010)","Pamuk Ottoman State Finances dataset","Ex-post budget document from Ottoman archives; ~9.65 million Venetian ducats; comparable to all European states except France and Spain","Single year snapshot; central treasury only; excludes provincial retention"
ECO-004,Government Revenue (% of GDP),Peak,1520-1683,3-5,% of GDP (central treasury cash),MODERATE,"Karaman & Pamuk (2010) JEH","Over 40 budget documents compiled from Ottoman archives","Central treasury collections; 1527 data shows central treasury collected 46% of assessed revenues; high intermediary shares reduced effective centralization","Tax farming (iltizam) system means large gap between assessed and centrally collected; actual burden higher"
ECO-004,Government Revenue (% of GDP),Decline,1683-1820,2-4,% of GDP (central treasury cash),MODERATE,"Karaman & Pamuk (2010) JEH","Salzmann (1993) Politics & Society","Central treasury share fell to ~25% of collections by 18th century; malikane system (1695) privatized revenue streams; intermediaries captured growing share","Malikane holders retained large portions; effective state capacity declining even as nominal GDP may have grown"
ECO-004,Government Revenue (% of GDP),Decline,1840-1914,5-10,% of GDP (central treasury),MODERATE,"Karaman & Pamuk (2010) JEH; Tanzimat reform data","Pamuk 'Evolution of Fiscal Institutions' LSE working paper","Significant fiscal centralization in 19th century responding to military defeats; revenue increases but still lagging European peers","OPDA captured portion of revenues; wartime/reform distortions; GDP denominator uncertain"
ECO-005,Government Debt (% of GDP),Rise,1299-1520,~0,% of GDP,HIGH,"Pamuk (2000) A Monetary History of the Ottoman Empire CUP","Inalcik Ottoman economic history","No external borrowing; fiscal deficits managed through debasement and internal mechanisms; timar system provided military service without cash expenditure","Absence of formal debt does not mean absence of fiscal stress; debasement served as implicit taxation"
