metric_id,entity,phase,year,value,unit,confidence,source_primary,source_secondary,methodology_notes,limitations
ECO-003,Ottoman Empire,Rise,1299-1520,0.06-0.10,% annual GDP growth,LOW,"Pamuk (2009) 'Estimating GDP per capita for the Ottoman Empire' XVth World Economic History Congress Utrecht","Maddison Project Database 2020","Backward extrapolation from 1500 benchmark using urbanization and wage data","No direct GDP data; territorial expansion conflates per-capita vs aggregate growth"
ECO-003,Ottoman Empire,Peak,1520-1683,0.00-0.10,% annual GDP growth,LOW,"Pamuk (2009) Utrecht paper","Broadberry & Gupta comparative framework","Stagnation to mild growth; relative decline like Italy and Spain","Per capita vs aggregate ambiguity; few benchmark years available"
ECO-003,Ottoman Empire,Decline (early),1683-1820,0.00-0.05,% annual GDP growth,LOW,"Pamuk (2009); Maddison Project Database","Karaman & Pamuk (2010) JEH","Mild growth or stagnation; ~27% total growth 1500-1820 distributed unevenly","Territorial losses complicate aggregate vs per-capita distinction"
ECO-003,Ottoman Empire,Decline (late),1820-1913,0.56,% annual GDP growth,MODERATE,"Pamuk (2006) 'Estimating Economic Growth in the Middle East since 1820' JEH 66(3):809-828","Bulut & Altay (2021) TUJISE second-generation estimates","0.56% average 1820-1913; includes -4% shock during 1870-1880 decade","More data available for 19th century but still limited"
ECO-004,Ottoman Empire,Rise,1528,9650000,Venetian ducats (total central revenue),HIGH,"Barkan 'Bir Butce Ornegi' IFM 14 (1953-54):251-329; cited in Karaman & Pamuk (2010)","Pamuk Ottoman State Finances dataset","Ex-post budget from Ottoman archives; comparable to all European states except France and Spain","Single year snapshot; central treasury only; excludes provincial retention"
ECO-004,Ottoman Empire,Peak,1520-1683,3-5,% of GDP (central treasury cash),MODERATE,"Karaman & Pamuk (2010) JEH 70(3):593-629","Over 40 budget documents from Ottoman archives","Central treasury collected 46% of assessed revenues in 1527","Tax farming means large gap between assessed and centrally collected"
ECO-004,Ottoman Empire,Decline (early),1683-1820,2-4,% of GDP (central treasury cash),MODERATE,"Karaman & Pamuk (2010) JEH","Salzmann (1993) Politics & Society","Central treasury share fell to ~25% by 18th century; malikane privatized revenue","Intermediaries captured growing share of collections"
ECO-004,Ottoman Empire,Decline (late),1840-1914,5-10,% of GDP (central treasury),MODERATE,"Karaman & Pamuk (2010) JEH; Tanzimat reform data","Pamuk 'Evolution of Fiscal Institutions' LSE working paper","Significant fiscal centralization in 19th century; still lagging European peers","OPDA captured portion; wartime distortions; GDP denominator uncertain"
ECO-005,Ottoman Empire,Rise,1299-1520,~0,% of GDP (no external borrowing),HIGH,"Pamuk (2000) A Monetary History of the Ottoman Empire CUP","Inalcik Ottoman economic history","No external borrowing; fiscal deficits managed through debasement and timar system","Absence of formal debt ≠ absence of fiscal stress; debasement = implicit tax"
ECO-005,Ottoman Empire,Peak,1520-1683,~0 (formal),% of GDP (no external debt),HIGH,"Pamuk (2000) CUP; Salzmann (1993)","Balla & Johnson fiscal crisis comparison","No external debt; internal borrowing from Galata sarrafs for short-term needs","Informal obligations to Galata bankers not well documented"
ECO-005,Ottoman Empire,Decline,1854,~10-15,% of GDP (estimated),LOW,"Ottoman public debt records; first loan £3M at 6% issued at 80%","Birdal (2010) Political Economy of Ottoman Public Debt","First foreign loan 1854 for Crimean War","GDP estimate extremely uncertain for 1854"
ECO-005,Ottoman Empire,Decline,1875,~100-150,% of GDP (estimated),LOW,"Ottoman public debt records; Birdal (2010); Reinhart & Rogoff dataset","Karaman & Pamuk (2010)","Nominal debt £200-214.5M; annual debt service £12M = 50%+ of revenue; 15 loans 1854-1874","GDP not precisely known; ratio extrapolated from debt/revenue"
ECO-005,Ottoman Empire,Decline,1881,~50-75,% of GDP (post-restructuring),LOW,"Decree of Muharrem 1881; debt reduced from £252.8M to £106.4M","OPDA records; Birdal (2010)","Post-restructuring; OPDA controlled ~32-40% of state revenues","Post-haircut figure; GDP denominator uncertain"
ECO-006,Ottoman Empire,Rise,1299-1520,N/A,No government borrowing,HIGH,"Pamuk (2000) A Monetary History CUP","Inalcik (1994)","No formal government borrowing; timar system and debasement seigniorage","Absence of borrowing means absence of rate data"
ECO-006,Ottoman Empire,Peak,1520-1683,N/A,No formal government bonds,HIGH,"Pamuk (2000) CUP","Salzmann (1993)","Short-term borrowing from Galata sarrafs at unknown rates","Informal sarraf lending rates not systematically recorded"
ECO-006,Ottoman Empire,Decline,1775-1840,~10-12,% annual (esham bonds),LOW,"Salzmann (1993); esham-i cedid 1871 at 10%","Pamuk (2000) CUP","Esham life annuities implied return ~10%; 1840 kaime at 12.5%","Life-annuity structure makes valuation complex"
